,0
,Bin 1
Bin #,"['P_10', 'P_2']"
Top Bin of Features:,9280.695169435605
Log-Rank ScoreNumber of Instances with No Mismatches in Bin:,5000
Number of Instances with Mismatch(es) in Bin:,5000
p-value from Log Rank Test:,0.0
