,precision,recall,f1-score,support
0,0.9958175662218681,1.0,0.9979044007584073,5000.0
1,1.0,0.9958,0.997895580719511,5000.0
accuracy,0.9979,0.9979,0.9979,0.9979
macro avg,0.9979087831109341,0.9979,0.9978999907389592,10000.0
weighted avg,0.997908783110934,0.9979,0.9978999907389592,10000.0
