,precision,recall,f1-score,support
0,0.3333333333333333,0.0004,0.000799041150619257,5000.0
1,0.4998999399639784,0.9992,0.6663998932906496,5000.0
accuracy,0.4998,0.4998,0.4998,0.4998
macro avg,0.4166166366486559,0.49979999999999997,0.33359946722063444,10000.0
weighted avg,0.4166166366486559,0.4998,0.33359946722063444,10000.0
