,0
,Bin 1
Bin #,"['P_6', 'P_4', 'P_3', 'P_9', 'P_5']"
Top Bin of Features:,8906.138615701893
Log-Rank ScoreNumber of Instances with No Mismatches in Bin:,5130
Number of Instances with Mismatch(es) in Bin:,4870
p-value from Log Rank Test:,0.0
